0.0
0.0
1.15
(-0.7459917521697461, -0.26284, -0.39010625000000004)
(-0.6606887325012923, -0.267993, -0.38462675)
(-0.6093525066499736, -0.26909, -0.3814917500000001)
(-0.5102438968491222, -0.270376, -0.37324175000000004)
(-0.4253104395643744, -0.272311, -0.36280475000000006)
(-0.33999739300954085, -0.272479, -0.35595125)
(-0.2549980447571556, -0.272654, -0.34926425000000005)
(-0.1693297599420157, -0.271725, -0.34582025000000005)
(-0.0835912869222182, -0.269687, -0.34782725000000003)
(0.039415690358289616, -0.266337, -0.35354975000000005)
(0.13481721702336122, -0.268729, -0.35841125)
(0.21948138078819932, -0.271623, -0.36459575)
(0.31882777103748194, -0.275055, -0.37193675000000004)
(0.38370172591362844, -0.274375, -0.3779937500000001)
(0.46372057646002207, -0.268488, -0.38294075000000005)
(0.5408531161414247, -0.261431, -0.38679575000000005)
(0.6251219341004379, -0.25373, -0.39097625)
(0.7283519360648422, -0.168129, -0.40404275)
(0.7782416306853709, -0.088514, -0.41107775)
(0.9739415547117054, 0.088256, -0.42592375000000005)
(1.0122471255065362, 0.089619, -0.42657675)
(1.0299999999999998, 0.097, -0.42545975, 'left:tnM:1')
(1.4269999999999998, 0.097, -0.42545975)
(1.4269999999999998, -0.097, -0.41940875)
(1.0299999999999998, -0.097, -0.41940875, 'left:tfM:-1')
(1.0013321434761493, -0.090045, -0.43106675000000005)
(0.8886585888160103, -0.099365, -0.42623775)
(0.8437329600033566, -0.143049, -0.40407875000000004)
(0.8184779319296943, -0.166796, -0.39031325000000006)
(0.7849405024124853, -0.197008, -0.36436025)
(0.7464164740921038, -0.229818, -0.33252275000000003)
(0.7041428145229258, -0.264998, -0.29624825000000005)
(0.5475166983468529, -0.29318, -0.31991675)
(0.46690053185470165, -0.293774, -0.33536675000000005)
(0.3418036649702131, -0.289819, -0.35425475)
(0.2584501584964254, -0.287349, -0.36701675)
(0.17409396338467578, -0.281277, -0.37618475)
(0.021258431537136146, -0.270071, -0.37439075000000005)
(-0.06175989044910411, -0.264279, -0.37028075000000005)
(-0.14485556270170113, -0.259164, -0.36503375000000005)
(-0.2284941192311381, -0.256634, -0.36125675000000007)
(-0.3103493223973423, -0.256875, -0.36008525)
(-0.39618949669327586, -0.257265, -0.35797625000000005)
(-0.48685546816248654, -0.259337, -0.35442275000000006)
(-0.5743257277012785, -0.28032, -0.35380775000000003)
(-0.6504412546213194, -0.297788, -0.34612025)
(-0.771676439523749, -0.391796, -0.29767175)
(-0.8325801674536828, -0.578015, -0.23058825000000005)
(-0.8439973911500634, -0.612943, -0.21803625000000004)
(-0.9608536031616198, -0.985897, -0.06858425000000001)
(-0.9988483404786833, -0.990052, -0.06544825000000001)
(-1.0299999999999998, -0.997, -0.06455125000000002, 'right:tfL:1')
(-1.4269999999999998, -0.997, -0.06455125000000002)
(-1.4269999999999998, -0.803, -0.06430725000000002)
(-1.13, -0.803, -0.06430725000000002, 'right:tnL:-1')
(-1.2299999999999998, -0.157, -0.4554367500000001)
(-1.2299999999999998, -0.097, -0.3954367500000001)
(-1.2299999999999998, -0.037000000000000005, -0.4554367500000001)
(-1.2299999999999998, 0.037000000000000005, -0.45335375000000006)
(-1.2299999999999998, 0.097, -0.39335375000000006)
(-1.2299999999999998, 0.157, -0.45335375000000006)
(-1.21, 0.78, 0.13569274999999997, 'right:tfT:1')
(-1.4499999999999997, 0.78, 0.13569274999999997)
(-1.4499999999999997, 1.02, 0.13569274999999997)
(-1.21, 1.02, 0.13569274999999997, 'right:tnT:-1')
(-1.13, 0.157, -0.45335375000000006)
(-1.13, 0.097, -0.39335375000000006)
(-1.13, 0.037000000000000005, -0.45335375000000006)
(-1.13, -0.037000000000000005, -0.4554367500000001)
(-1.13, -0.097, -0.3954367500000001)
(-1.13, -0.157, -0.4554367500000001)
(-1.0299999999999998, -0.803, -0.06430725000000002)
(-0.9283572192259979, -0.677248, -0.13066425000000004)
(-0.911676881341251, -0.634946, -0.15223525000000004)
(-0.8934853239651599, -0.588622, -0.17493125000000004)
(-0.8666210678197027, -0.527252, -0.21309325)
(-0.8457822389524492, -0.481888, -0.23768925000000002)
(-0.8134582738200496, -0.420121, -0.27435325000000005)
(-0.7871410545148999, -0.360744, -0.29735375000000003)
(-0.7757372375068512, -0.332303, -0.31862225000000005)
(-0.7339709478129205, -0.259973, -0.35466575000000006)
(-0.6750128559007502, -0.25428, -0.36382625)
(-0.5900392910704841, -0.249708, -0.3671757500000001)
(-0.4724153193634926, -0.242736, -0.37156475000000005)
(-0.38677138555813173, -0.238077, -0.37427975)
(-0.0891175337297294, -0.225856, -0.37826675000000004)
(0.12310581373196422, -0.236609, -0.36749375)
(0.2085205615629339, -0.241844, -0.36270275)
(0.29417165742999457, -0.244864, -0.36003125)
(0.5040415514171571, -0.251139, -0.35415425)
(0.5888145785198311, -0.254144, -0.35150375000000006)
(0.6737967378241367, -0.258323, -0.34775675)
(0.6893956732565323, -0.270265, -0.33993425000000005)
(0.7150609896195776, -0.298178, -0.34020575000000003)
(0.7465362979889745, -0.337342, -0.31930625)
(0.7698818894298382, -0.381096, -0.28766025)
(0.792792899195763, -0.424481, -0.26098925)
(0.8039718467692484, -0.458025, -0.24118525000000002)
(0.8304111480489079, -0.539078, -0.20045425)
(0.8462091249397683, -0.586483, -0.17692325000000003)
(0.8945429387085079, -0.767818, -0.09279825000000001)
(0.9600872625597492, -0.781676, -0.08778925000000003)
(1.0299999999999998, -0.803, -0.06739525000000002)
(1.13, -0.157, -0.41940875)
(1.13, -0.097, -0.35940875)
