0.0
0.0
1.3372905000000002
(0.4193095, -0.011119, -0.07928324999999999)
(0.3747944999999999, -0.012045, -0.07368674999999998)
(0.3152434999999999, -0.01334, -0.07137375)
(0.2551184999999999, -0.013107, -0.06708225)
(-0.27521950000000006, 0.011058, -0.058629749999999994)
(-0.33484249999999993, 0.01333, -0.057941249999999986)
(-0.39432250000000013, 0.013393, -0.06447374999999998)
(-0.45422150000000006, 0.012452, -0.07404224999999999)
(-0.49338550000000003, 0.008438, -0.08045925)
(-0.5524104999999999, 0.001291, -0.08964525)
(-0.6076245, -0.006853, -0.09703875)
(-0.6432555, -0.010646, -0.10182674999999998)
(-0.7006405, -0.023526, -0.10907174999999998)
(-0.7778825, -0.034077, -0.11013674999999999)
(-0.8381905000000001, -0.038666, -0.11016074999999999)
(-0.8954205, -0.041356, -0.11109075)
(-0.9537385, -0.043436, -0.09952574999999998)
(-1.0123955, -0.036209, -0.09629924999999999)
(-1.1279002738888468, 0.04344, -0.062030249999999995)
(-1.1922575000000002, 0.089924, -0.041979749999999996)
(-1.2172905000000003, 0.097, -0.04286174999999999, 'right:tnM:1')
(-1.6142905000000003, 0.097, -0.04286174999999999)
(-1.6142905000000003, -0.097, -0.03774825)
(-1.2172905000000003, -0.097, -0.03774825, 'right:tfM:-1')
(-1.1956665000000002, -0.089677, -0.04797074999999999)
(-1.0982030885801235, -0.071373, -0.06045824999999998)
(-1.0188705, -0.048246, -0.07675875)
(-0.9593835000000002, -0.046012, -0.07913174999999999)
(-0.7821415, -0.037971, -0.08563125)
(-0.7219724999999999, -0.034052, -0.08821875)
(-0.6620115, -0.029492, -0.09099075)
(-0.6024105000000002, -0.024953, -0.09373424999999998)
(-0.5470525000000002, -0.013584, -0.09572024999999999)
(-0.4876845000000001, -0.003343, -0.09724275)
(-0.22521950000000013, 0.05595, -0.09904875)
(-0.16924850000000013, 0.066733, -0.10025025)
(-0.1138165000000001, 0.077798, -0.10115475)
(-0.015809500000000143, 0.097598, -0.10257974999999998)
(0.038017499999999926, 0.107412, -0.10365825)
(0.36049549999999997, 0.218299, -0.10473675)
(0.9569722965672702, 0.352195, -0.10258424999999997)
(1.1689315000000002, 0.538133, -0.08977724999999999)
(1.1956985000000002, 0.539674, -0.08968425000000001)
(1.2172905000000003, 0.547, -0.08918025, 'left:tnF:1')
(1.6142905000000003, 0.547, -0.08918025)
(1.6142905000000003, 0.353, -0.08859975000000002)
(1.2172905000000003, 0.353, -0.08859975000000002, 'left:tfF:-1')
(1.2129615000000002, 0.36364, -0.09004875)
(1.139566171791241, 0.334657, -0.09277125000000001)
(0.9941934861583488, 0.231062, -0.10147125)
(0.5340436918538255, 0.162531, -0.10728075)
(0.20511849999999987, 0.082851, -0.10353224999999998)
(0.1499624999999999, 0.073923, -0.10356224999999998)
(0.0941424999999998, 0.065804, -0.10220324999999998)
(0.02431149999999993, 0.052011, -0.09860925)
(-0.03295350000000008, 0.043958, -0.09653474999999999)
(-0.2873435, 0.008488, -0.07952474999999999)
