0.0
0.0
1.2189029999999998
(0.5336520000000001, 0.123134, -0.12129024999999997)
(0.37663800000000003, 0.126421, -0.12245424999999997)
(0.2864200000000001, 0.132778, -0.13431925)
(0.2294790000000001, 0.137009, -0.14126725)
(0.1677550000000001, 0.14152, -0.14878525000000004)
(0.136741, 0.143921, -0.15260574999999998)
(0.07467100000000015, 0.147287, -0.15717625000000002)
(0.014145999999999992, 0.148524, -0.15719725)
(-0.04611100000000001, 0.148354, -0.15404125000000002)
(-0.1076649999999999, 0.147809, -0.15116275)
(-0.16910199999999986, 0.146872, -0.14849875)
(-0.2312479999999999, 0.145926, -0.14579274999999997)
(-0.29350699999999996, 0.144276, -0.14261425)
(-0.41478999999999977, 0.139712, -0.13714224999999997)
(-0.47626199999999996, 0.138929, -0.13586125)
(-0.5354929999999998, 0.138175, -0.13426675)
(-0.8568204931671757, 0.127517, -0.12267925)
(-1.06652, 0.090029, -0.13025575)
(-1.0980649999999998, 0.085104, -0.12958975)
(-1.098903, 0.097, -0.12891025, 'right:tnM:1')
(-1.495903, 0.097, -0.12891025)
(-1.495903, -0.097, -0.13297824999999996)
(-1.098903, -0.097, -0.13297824999999996, 'right:tfM:-1')
(-1.097885, -0.085166, -0.12559675000000003)
(-1.06632, -0.090024, -0.12634974999999998)
(-0.9379552001219638, -0.056003, -0.13281325)
(-0.9063147535949343, -0.024271, -0.13150825)
(-0.8389804239068268, 0.042184, -0.12271075)
(-0.5966379999999998, 0.109026, -0.14606575)
(-0.5378319999999999, 0.117605, -0.15192624999999998)
(-0.48972099999999985, 0.124732, -0.15673375)
(-0.4296589999999998, 0.13836, -0.16188025)
(-0.3701089999999998, 0.152081, -0.16695025000000002)
(-0.3125859999999998, 0.167995, -0.16906525)
(-0.2550649999999999, 0.183914, -0.17117575000000002)
(0.5054130000000001, 0.38968, -0.18765025000000002)
(0.5639210000000001, 0.406385, -0.18954474999999998)
(0.62219, 0.422548, -0.19182624999999998)
(0.6823430000000001, 0.437637, -0.19546675000000002)
(0.7426090000000001, 0.450373, -0.19960525)
(0.7983470000000001, 0.456216, -0.20600875000000002)
(0.9702649999999997, 0.533143, -0.20160925000000002)
(1.0076289999999999, 0.535895, -0.20132725)
(1.0567339999999998, 0.539266, -0.20065375000000002)
(1.0935529999999998, 0.536534, -0.20006575)
(1.098903, 0.547, -0.19947775, 'left:tnF:1')
(1.495903, 0.547, -0.19947775)
(1.495903, 0.353, -0.20039875000000001)
(1.098903, 0.353, -0.20039875000000001, 'left:tfF:-1')
(1.000863, 0.351004, -0.20031625000000003)
(0.9695599999999998, 0.346891, -0.19904725)
(0.887822173640234, 0.268114, -0.21450625)
(0.8194961161504637, 0.195394, -0.22611925)
(0.46317700000000017, 0.111182, -0.18364975)
(0.4327820000000001, 0.11001, -0.17938975000000001)
(0.379912, 0.109443, -0.17099874999999998)
(0.32175600000000004, 0.114507, -0.16284474999999998)
(0.20731900000000003, 0.124663, -0.14673175)
(0.148636, 0.130445, -0.13795075)
(0.09099900000000005, 0.140361, -0.13447375)
(0.005912000000000139, 0.14982, -0.13399075)
(-0.053180000000000005, 0.154389, -0.13422774999999998)
(-0.11313699999999982, 0.157738, -0.13494325000000001)
(-0.17393999999999976, 0.1589, -0.13716775000000003)
(-0.28353799999999985, 0.160927, -0.14116225)
(-0.3421169999999998, 0.162028, -0.14339124999999997)
(-0.4022549999999998, 0.15486, -0.14883475000000002)
(-0.462591, 0.149144, -0.15295074999999997)
(-0.49931099999999984, 0.143818, -0.15750025)
(-0.5503269999999998, 0.127062, -0.16611925)
(-0.600255, 0.107388, -0.17512075)
(-0.816704817009861, -0.025992, -0.22941475)
(-0.8722244434084176, -0.301273, -0.29647875)
(-0.9155288761339324, -0.521106, -0.34396575)
(-0.9570829999999997, -0.740715, -0.39154475000000005)
(-0.9881269999999998, -0.756726, -0.39918424999999996)
(-1.098903, -0.803, -0.42709625)
(-1.098903, -0.997, -0.42393425)
(-1.097933, -0.98515, -0.42850024999999997)
(-1.0697089999999998, -0.990047, -0.42949825)
(-1.0424869999999997, -0.986178, -0.43276224999999996)
(-1.0161579999999997, -0.973192, -0.43844025000000003)
(-0.9966969999999999, -0.954188, -0.44426625000000003)
(-0.9830189999999999, -0.927961, -0.43774825)
(-0.978934, -0.8919, -0.43868124999999997)
(-0.9776459999999998, -0.76928, -0.4252362499999999)
(-0.9773909999999997, -0.733542, -0.41542624999999994)
(-0.977136, -0.179472, -0.30806375)
(-0.9786919999999999, 0.33715, -0.19261525000000002)
(-0.9787189999999997, 0.367144, -0.18438325)
(-0.9789030000000001, 0.442245, -0.16155475000000002)
(-0.982035, 0.474745, -0.15612325)
(-0.985619, 0.484931, -0.15489625)
(-0.9956769999999999, 0.509389, -0.14868775)
(-1.0104169999999997, 0.543509, -0.15097075)
(-1.098903, 0.803, -0.20545675000000002, 'right:tfT:1')
(-1.495903, 0.803, -0.20545675000000002)
(-1.495903, 0.997, -0.20526475)
(-1.098903, 0.997, -0.20526475, 'right:tnT:-1')
(-1.0883009999999997, 0.987877, -0.20284225)
(-1.0612959999999998, 0.989755, -0.20002225)
(-1.0349949999999997, 0.982461, -0.19915675)
(-0.9269826167299129, 0.813774, -0.19618375)
(-0.8949226269041064, 0.705459, -0.15988975)
(-0.8477970893622799, 0.57703, -0.07418575)
(-0.8070829999999998, 0.398766, -0.10350474999999999)
(-0.7527379999999997, 0.378813, -0.10840674999999998)
(-0.6983449999999998, 0.364735, -0.12340974999999997)
