0.0
0.0
1.15
(0.537666750215835, 0.701032, -0.2358115)
(0.48318340899174683, 0.711167, -0.2615425)
(0.42687939213338133, 0.717359, -0.26535400000000003)
(0.35826231653995005, 0.728956, -0.2646625)
(0.29315082481595933, 0.739922, -0.2639905)
(0.2332205419556072, 0.749089, -0.263152)
(0.16428667576424258, 0.755932, -0.26528650000000004)
(-0.04344092609611895, 0.774473, -0.2669035)
(-0.11282967109477272, 0.778105, -0.268843)
(-0.14880571104984194, 0.779739, -0.270712)
(-0.21811902971565444, 0.776659, -0.270433)
(-0.28154561320448207, 0.749401, -0.28186150000000004)
(-0.34782911410031475, 0.728363, -0.291568)
(-0.42947405798312316, 0.722316, -0.285124)
(-0.4987409604441104, 0.717215, -0.2797)
(-0.5626433100323988, 0.712536, -0.274729)
(-0.6305699445790514, 0.714275, -0.258055)
(-0.8637701996769116, 0.841776, -0.146227)
(-0.9247905836001156, 0.909501, -0.08128099999999998)
(-0.9827784276046451, 0.988846, -0.01689099999999999)
(-1.014710455714299, 0.989136, -0.017392999999999992)
(-1.0299999999999998, 0.997, -0.01983399999999999)
(-1.13, 0.863, -0.00010599999999998111)
(-1.13, 0.803, 0.05989400000000002)
(-1.13, 0.7430000000000001, -0.00010599999999998111)
(-1.21, 0.33, -0.10772899999999995, 'right:tfF:1')
(-1.4499999999999997, 0.33, -0.10772899999999995)
(-1.4499999999999997, 0.5700000000000001, -0.10772899999999995)
(-1.21, 0.5700000000000001, -0.10772899999999995, 'right:tnF:-1')
(-1.2299999999999998, 0.7430000000000001, -0.00010599999999998111)
(-1.2299999999999998, 0.803, 0.05989400000000002)
(-1.2299999999999998, 0.863, -0.00010599999999998111)
(-1.13, 0.997, -0.01983399999999999, 'right:tnT:1')
(-1.4269999999999998, 0.997, -0.01983399999999999)
(-1.4269999999999998, 0.803, -0.00010599999999998111)
(-1.0299999999999998, 0.803, -0.00010599999999998111, 'right:tfT:-1')
(-1.0046381392671808, 0.810042, -0.04410599999999999)
(-0.918923162680364, 0.761919, -0.096374)
(-0.8517722534193979, 0.736771, -0.14771600000000001)
(-0.31659564987328387, 0.723894, -0.253996)
(-0.248570380891377, 0.726648, -0.26203000000000004)
(-0.1458350739410144, 0.730738, -0.27405850000000004)
(-0.051314274839632336, 0.742033, -0.2826805)
(0.010542280520975233, 0.745609, -0.298219)
(0.07854202059022818, 0.75065, -0.315004)
(0.14664967833570025, 0.754239, -0.3299395)
(0.21585740013553492, 0.754492, -0.3414595)
(0.271331727332646, 0.754344, -0.351007)
(0.3408260691972778, 0.750987, -0.361609)
(0.7416091105726828, 0.67315, -0.37721600000000005)
(0.9295022153882985, 0.572963, -0.375344)
(1.0276095190352854, 0.536814, -0.37573300000000004)
(1.0299999999999998, 0.547, -0.37586800000000004, 'left:bnF:1')
(1.4269999999999998, 0.547, -0.37586800000000004)
(1.4269999999999998, 0.353, -0.37591500000000005)
(1.0299999999999998, 0.353, -0.37591500000000005, 'left:bfF:-1')
(1.0097729319259938, 0.360355, -0.375754)
(0.9784385124534677, 0.361854, -0.375211)
(0.8591187997513061, 0.557686, -0.313804)
(0.7792932668653277, 0.68249, -0.2896135)
(0.720154380297249, 0.700432, -0.28588)
(0.6322861837524713, 0.715928, -0.2887075)
(0.5708740635530672, 0.721592, -0.2876695)
(0.32910829828909827, 0.744574, -0.2902195)
(0.2595408509018666, 0.750508, -0.29068900000000003)
(0.22047929373102707, 0.753193, -0.2903035)
(0.1507540312473888, 0.754844, -0.2906785)
(0.0713591128934932, 0.756881, -0.291157)
(0.0020237465303883937, 0.758197, -0.28867750000000003)
(-0.06581121601173417, 0.75211, -0.283009)
(-0.1345385300916259, 0.746866, -0.27770200000000006)
(-0.2408037894189621, 0.739422, -0.269749)
(-0.3051621782196603, 0.736004, -0.265288)
(-0.3740217784833042, 0.734054, -0.266467)
(-0.44288137874694833, 0.732177, -0.26782300000000003)
(-0.5124128535754404, 0.729772, -0.2685385)
(-0.5610013367866991, 0.728089, -0.269227)
(-0.6292192330186315, 0.72617, -0.27335950000000003)
(-0.695637340908458, 0.723104, -0.28619500000000003)
(-0.7432998208334495, 0.720912, -0.295462)
(-0.8043545362556977, 0.721679, -0.2991475)
(-0.893618842755659, 0.735363, -0.341989)
(-1.0091149822225933, 0.810302, -0.38025000000000003)
(-1.0299999999999998, 0.803, -0.380978, 'right:bfT:1')
(-1.4269999999999998, 0.803, -0.380978)
(-1.4269999999999998, 0.997, -0.38035800000000003)
(-1.0299999999999998, 0.997, -0.38035800000000003, 'right:bnT:-1')
(-1.0297690329647886, 0.98628, -0.38000700000000004)
(-0.9985959098040307, 0.990047, -0.380418)
(-0.9406641493240306, 0.934562, -0.367557)
(-0.868201128193758, 0.840645, -0.341374)
(-0.5892293517512834, 0.756711, -0.32258950000000003)
(-0.5209093398687352, 0.750865, -0.32161300000000004)
(-0.4518176585809639, 0.74633, -0.3220285)
(-0.38217826607625255, 0.744056, -0.3233875)
(-0.3328401611570634, 0.742549, -0.32441050000000005)
(-0.26217613093083075, 0.740924, -0.326284)
(-0.19168964268805547, 0.739495, -0.32811250000000003)
(0.09459390462398201, 0.736462, -0.331732)
(0.16332469991923548, 0.738844, -0.33261999999999997)
(0.23372183696772184, 0.741695, -0.3334165)
(0.3018457403848829, 0.746376, -0.3341095)
(0.369924388002339, 0.756078, -0.336202)
(0.8463162251649372, 0.857097, -0.3577735)
(0.9955103925882601, 0.989977, -0.384736)
(1.0299999999999998, 0.997, -0.384715, 'left:bnT:1')
(1.4269999999999998, 0.997, -0.384715)
(1.4269999999999998, 0.803, -0.38182399999999994)
(1.0299999999999998, 0.803, -0.38182399999999994, 'left:bfT:-1')
(1.0246354007110963, 0.812519, -0.38734700000000005)
(0.9326391064535632, 0.783171, -0.371879)
(0.7973178396041622, 0.7005, -0.315952)
(0.7359973914092885, 0.69433, -0.3113845)
(0.6892957269241835, 0.690733, -0.2950375)
(0.635408833932102, 0.69955, -0.2785675)
(0.5565012857288733, 0.71986, -0.256024)
(0.5257273419296141, 0.719953, -0.2368345)
(0.5213131608507158, 0.719322, -0.234784)
(0.44189387398928676, 0.712606, -0.2424535)
(0.37459966023338037, 0.709992, -0.25136200000000003)
(0.30634114982222554, 0.711282, -0.258871)
(0.23817779263096306, 0.714865, -0.2670775)
(0.031343702713491205, 0.728127, -0.29278)
(-0.03495720425915116, 0.731314, -0.3014035)
(-0.10396417597311601, 0.73889, -0.306022)
(-0.15519606204918276, 0.74241, -0.30718)
(-0.2243852173670874, 0.749458, -0.3108955)
(-0.2894851050398716, 0.749083, -0.306013)
(-0.3549551619461389, 0.746952, -0.30108700000000005)
(-0.6090165798683638, 0.740704, -0.28343050000000003)
(-0.6776290138413122, 0.738774, -0.2779705)
(-0.744553058363736, 0.727727, -0.272986)
(-0.8025733143955218, 0.713351, -0.271057)
(-0.8834709245927956, 0.540575, -0.274846)
(-0.9784153043510548, 0.361858, -0.3077215)
(-1.0096185980449492, 0.360342, -0.30772)
(-1.0299999999999998, 0.353, -0.307729, 'right:bfF:1')
(-1.4269999999999998, 0.353, -0.307729)
(-1.4269999999999998, 0.547, -0.30786850000000004)
(-1.0299999999999998, 0.547, -0.30786850000000004, 'right:bnF:-1')
(-1.0081472043519832, 0.539768, -0.3094525)
(-0.8965767232283409, 0.620335, -0.335038)
(-0.8418530485120448, 0.669909, -0.365456)
(-0.5641355910175362, 0.74665, -0.34605850000000005)
(-0.49736355956591577, 0.755389, -0.3433855)
(-0.43055091393507317, 0.7593, -0.3314935)
(-0.35443762126233513, 0.763275, -0.31789)
(-0.2877920739688643, 0.766804, -0.305914)
(-0.22907093324421438, 0.768265, -0.29476)
(-0.13312399624957086, 0.767308, -0.2788945)
(-0.06669776552389985, 0.767051, -0.27082750000000005)
(-0.0013681176372298146, 0.76222, -0.267478)
(0.06656431893502639, 0.753606, -0.26720350000000004)
(0.10590901495530096, 0.748318, -0.2675125)
(0.17421162076103977, 0.740684, -0.271687)
(0.26597761810603293, 0.727798, -0.272302)
(0.3328598880441136, 0.717711, -0.27607600000000004)
(0.3999591537397532, 0.70445, -0.2726155)
(0.5307031590869001, 0.679647, -0.2565775)
(0.5742659277206854, 0.679771, -0.246334)
(0.8510333503318667, 0.698626, -0.148293)
(1.0043642836587108, 0.810031, -0.031799999999999995)
(1.0299999999999998, 0.803, -0.025047999999999987, 'left:tfT:1')
(1.4269999999999998, 0.803, -0.025047999999999987)
(1.4269999999999998, 0.997, -0.015464999999999993)
(1.13, 0.997, -0.015464999999999993, 'left:tnT:-1')
(1.2299999999999998, 0.863, -0.025047999999999987)
(1.2299999999999998, 0.803, 0.03495200000000001)
(1.2299999999999998, 0.7430000000000001, -0.025047999999999987)
(1.21, 0.5700000000000001, -0.17586800000000002, 'left:tnF:1')
(1.4499999999999997, 0.5700000000000001, -0.17586800000000002)
(1.4499999999999997, 0.33, -0.17586800000000002)
(1.21, 0.33, -0.17586800000000002, 'left:tfF:-1')
(1.13, 0.7430000000000001, -0.025047999999999987)
(1.13, 0.803, 0.03495200000000001)
(1.13, 0.863, -0.025047999999999987)
(1.0299999999999998, 0.997, -0.015464999999999993)
(1.0022500255289124, 0.99003, -0.01683499999999999)
(0.97137860769952, 0.98561, -0.024142999999999998)
(0.8646630109215537, 0.808403, -0.18377500000000002)
