0.0
0.0
1.3344135000000001
(0.6290778661590083, 0.426873, -0.86679425)
(0.32543050000000007, 0.474576, -0.9400617499999999)
(0.27333550000000006, 0.48687, -0.9568542499999999)
(0.21788350000000006, 0.499941, -0.97479725)
(0.09978550000000003, 0.514866, -0.9555627500000001)
(0.04198950000000001, 0.524008, -0.9394512500000001)
(-0.08171549999999994, 0.544078, -0.90454625)
(-0.1160795, 0.555367, -0.92759675)
(-0.1412295, 0.562248, -0.94334075)
(-0.21764949999999994, 0.545889, -0.9800742499999999)
(-0.2660095, 0.515009, -0.9471627499999999)
(-0.3122195, 0.503136, -0.8928222499999999)
(-0.3790715, 0.483046, -0.83450125)
(-0.7668823689868727, 0.428211, -0.75558275)
(-1.0118439505562606, 0.40666, -0.7269417499999999)
(-1.051860003910054, 0.389307, -0.69683475)
(-1.121564433337268, 0.35806, -0.65191975)
(-1.1931575000000003, 0.360344, -0.6300527499999999)
(-1.2144135, 0.353, -0.62703975, 'right:tfF:1')
(-1.6114135, 0.353, -0.62703975)
(-1.6114135, 0.547, -0.61871275)
(-1.2144135, 0.547, -0.61871275, 'right:tnF:-1')
(-1.1495365000000002, 0.685998, -0.69207275)
(-1.1622585000000003, 0.764624, -0.80439325)
(-1.1643175000000003, 0.787066, -0.8415917499999999)
(-1.2144135, 0.803, -0.9158442499999999)
(-1.2544135, 0.763, -0.9158442499999999)
(-1.2544135, 0.763, -0.6761737499999999)
(-1.2144135, 0.803, -0.6761737499999999)
(-1.2144135, 0.997, -0.68001525)
(-1.2544135, 1.037, -0.68001525)
(-1.2544135, 1.037, -0.91968575)
(-1.2144135, 0.997, -0.91968575)
(-1.1927735000000002, 0.989691, -0.92140025)
(-1.1658975000000003, 0.988069, -0.92128325)
(-1.0758699192168089, 0.82741, -0.9104727499999998)
(-1.009014546950158, 0.702517, -0.90480575)
(-0.765076795259279, 0.631132, -0.90524225)
(-0.3887164999999999, 0.510863, -0.9206382499999999)
(-0.3364085, 0.49913, -0.9239967499999999)
(-0.2742325, 0.495093, -0.9329442499999999)
(-0.16191449999999996, 0.495373, -0.94777775)
(-0.10297449999999997, 0.498792, -0.95431175)
(-0.04532950000000002, 0.510196, -0.96198725)
(0.009821500000000039, 0.52111, -0.96932225)
(0.0674825, 0.532541, -0.9768537499999999)
(0.12786450000000005, 0.537418, -0.9893937499999998)
(0.18093650000000006, 0.542176, -1.00156925)
(0.23472650000000006, 0.543605, -1.01148325)
(0.4104325000000001, 0.55093, -1.03441425)
(0.6061074101683527, 0.546769, -1.0680682499999998)
(0.6880351687708409, 0.543992, -1.08658825)
(0.8947151533561034, 0.539932, -1.12444225)
(0.9724101057463881, 0.538482, -1.1529912500000001)
(1.1905455000000003, 0.539864, -1.21164925)
(1.2144135, 0.547, -1.21355325)
(1.2544135, 0.5870000000000001, -1.21355325)
